codigo_ibge,municipio,estado,mesorregiao,microrregiao,populacao_censo_2022,populacao_estimada_ultimo_ano,ano_estimativa,sexo_masculino,sexo_feminino,sexo_total,faixa_0_14,faixa_15_59,faixa_60_mais,faixa_total,cor_branca,cor_preta,cor_parda,cor_amarela,cor_indigena,cor_total,taxa_alfabetizacao_15_mais,taxa_analfabetismo_15_mais,pop_urbana,pop_rural,taxa_urbana,taxa_rural,renda_per_capita,pct_vulneraveis_pobreza,ano_renda_vulnerabilidade
2205003,Itainópolis,PI,Sudeste Piauiense,Alto Médio Canindé,10790,10969,2025,5456,5334,10790,1848,6750,2192,10790,2794,699,7283,11,3,10790,71.56,28.44,2944,7846,27.28,72.72,237.76,65.74,2010
2205102,Itaueira,PI,Sudoeste Piauiense,Floriano,10323,10477,2025,5191,5132,10323,1962,6418,1943,10323,1979,1640,6684,5,15,10323,78.78,21.22,6370,3953,61.71,38.29,321.64,63.03,2010
2205151,Jacobina do Piauí,PI,Sudeste Piauiense,Alto Médio Canindé,5613,5711,2025,2797,2816,5613,1107,3559,947,5613,1822,421,3367,3,,5613,71.82,28.18,2209,3404,39.36,60.64,190.04,74.6,2010
2205201,Jaicós,PI,Sudeste Piauiense,Alto Médio Canindé,17527,17789,2025,8552,8975,17527,3709,10945,2873,17527,2800,1622,13094,,11,17527,68.92,31.08,9026,8501,51.5,48.5,254.28,67.63,2010
2205250,Jardim do Mulato,PI,Centro-Norte Piauiense,Médio Parnaíba Piauiense,4180,4235,2025,2104,2076,4180,876,2548,756,4180,674,658,2848,,,4180,72.7,27.3,1303,2877,31.17,68.83,219.06,72.07,2010
2205276,Jatobá do Piauí,PI,Centro-Norte Piauiense,Campo Maior,4494,4560,2025,2319,2175,4494,738,2783,973,4494,790,266,3433,4,1,4494,76.04,23.96,955,3539,21.25,78.75,209.21,66.9,2010
2205300,Jerumenha,PI,Sudoeste Piauiense,Floriano,4497,4606,2025,2289,2208,4497,890,2793,814,4497,668,1084,2722,20,3,4497,80.84,19.16,2468,2029,54.88,45.12,275.19,63.93,2010
2205359,João Costa,PI,Sudeste Piauiense,Alto Médio Canindé,2970,3033,2025,1569,1401,2970,615,1873,482,2970,640,201,2124,3,2,2970,77.11,22.89,845,2125,28.45,71.55,191.63,74.18,2010
2205409,Joaquim Pires,PI,Norte Piauiense,Baixo Parnaíba Piauiense,13886,14265,2025,7107,6779,13886,3109,8867,1910,13886,2295,1175,10412,1,3,13886,73.31,26.69,4540,9346,32.69,67.31,163.33,81.33,2010
2205458,Joca Marques,PI,Norte Piauiense,Baixo Parnaíba Piauiense,5394,5552,2025,2697,2697,5394,1257,3382,755,5394,731,398,4263,1,1,5394,69.18,30.82,1982,3412,36.74,63.26,181.17,81.46,2010
2205508,José de Freitas,PI,Centro-Norte Piauiense,Teresina,42559,44689,2025,20988,21571,42559,9347,27073,6139,42559,5630,4492,32405,23,8,42559,81.1,18.9,27349,15210,64.26,35.74,316.27,65.55,2010
2205516,Juazeiro do Piauí,PI,Centro-Norte Piauiense,Campo Maior,5214,5308,2025,2687,2527,5214,964,3360,890,5214,1154,431,3623,3,3,5214,77.51,22.49,1786,3428,34.25,65.75,206.61,73.22,2010
